id,treat,code_pay,role,group,hidden_number,report1,report2,duplicate,ranking
1,NO3,p3session2data,P3,2058930137,10,10,10,1,1
2,NO3,p3session2data,P3,5307697513,7,14,14,1,1
3,NO3,p3session2data,P3,6476176649,8,20,20,1,1
4,NO3,p3session2data,P3,8581150033,14,14,28,1,1
5,NO3,p3session2data,P3,3393395169,9,9,30,1,2
6,NO3,p3session2data,P3,5464221053,7,7,30,1,2
7,NO3,p3session2data,P3,3735239701,11,11,11,1,3
8,NO3,p3session2data,P3,7531044404,11,11,11,1,3
9,NO3,p3session2data,P3,7086917977,11,11,11,1,3
